"dest","origin","n_jointpath"
"LIT","ATL",32777
"SLC","IAH",32773
"LEX","ATL",32711
"IAH","SLC",32687
"ORD","ICT",32677
"ICT","ORD",32656
"DEN","TUL",32612
"ABQ","STL",32593
"BWI","PHX",32448
"SLC","GEG",32441
"EWR","IAD",32380
"SJC","SLC",32374
"SFO","STL",32327
"MCI","DTW",32309
"PHX","BWI",32307
"SFO","DTW",32301
"ISP","BWI",32284
"ATL","CHA",32259
"RNO","LAX",32239
"JAX","FLL",32198
"CHA","ATL",32193
"BWI","ISP",32185
"BNA","MCO",32122
"SLC","ABQ",32095
"DAL","MSY",32049
"DEN","DSM",32043
"MCO","BNA",32036
"BWI","DEN",32032
"HNL","ITO",32016
"SLC","SJC",31996
"EWR","ORF",31933
"CLT","CLE",31897
"DFW","HSV",31826
"MCO","MSP",31799
"BNA","BHM",31770
"MEM","BNA",31744
"MSY","DAL",31744
"BHM","BNA",31721
"BNA","MEM",31690
"JFK","PHX",31674
"MDW","ATL",31670
"ORF","EWR",31648
"STL","SFO",31624
"PHX","JFK",31588
"MSP","MCO",31586
"CLE","CLT",31482
"ATL","MDW",31476
"ELP","SAT",31363
"SLC","IDA",31353
"BOI","SFO",31341
"SFO","BOI",31255
"DEN","TUS",31255
"OGG","LAX",31184
"PHL","SJU",31170
"MDW","LAS",31133
"DFW","PBI",31128
"SAT","ELP",31126
"SJU","PHL",31099
"AUS","ELP",31064
"LAS","MDW",31023
"ATL","SAN",31015
"DFW","RNO",30953
"CLT","PBI",30872
"TUS","DEN",30860
"MRY","LAX",30800
"MCO","SJU",30778
"DEN","BOI",30761
"LAX","MRY",30757
"SJU","MCO",30718
"CLT","CAE",30709
"SNA","SLC",30695
"IAH","FLL",30679
"PBI","CLT",30672
"PHL","PBI",30637
"SEA","DTW",30604
"BOI","DEN",30549
"GEG","SLC",30519
"TPA","MSY",30453
"CAE","CLT",30435
"IAH","SEA",30419
"PBI","PHL",30407
"IND","DEN",30403
"CVG","CLE",30394
"IAH","CRP",30351
"DEN","IND",30310
"FLL","IAH",30287
"SYR","DTW",30286
"ORD","SDF",30255
"HOU","ELP",30227
"ABQ","SLC",30214
"CRP","IAH",30185
"RDU","DTW",30183
"CVG","TPA",30172
"SLC","SNA",30156
"ICT","DEN",30146
"SDF","ORD",30117
"CMH","CVG",30046
"DTW","RDU",30043
"ORD","RST",30041
"SEA","IAH",30022
"BGR","BOS",29987
"BOS","BGR",29974
"CVG","MCO",29972
"MDW","OMA",29951
"PSP","LAX",29945
"DFW","CMH",29938
"ELP","AUS",29904
"OMA","MDW",29901
"LAX","PSP",29836
"MSY","CLT",29812
"CLT","MSY",29784
"RST","ORD",29758
"BTR","ATL",29728
"DEN","ICT",29706
"DCA","CMH",29682
"CMH","DFW",29680
"RSW","CLT",29626
"LAX","OGG",29612
"CLT","RSW",29574
"GRR","MSP",29504
"ATL","BTR",29495
"MSP","GRR",29488
"DTW","GRB",29475
"ALB","PHL",29473
"BNA","CLE",29469
"CLE","BNA",29469
"MSY","TPA",29401
"OMA","DFW",29391
"DTW","MCI",29303
"SLC","BIL",29303
"BIL","SLC",29294
"MCO","CVG",29278
"TUL","MCI",29188
"LAX","PIT",29183
"LAS","SAT",29126
"SAT","LAS",29120
"BNA","IAH",29088
"PDX","GEG",29053
"MSP","DLH",28991
"PHL","BUF",28974
"BZN","SLC",28973
"ORD","SJU",28966
"SLC","BZN",28953
"RNO","DFW",28942
"PBI","DFW",28939
"DEN","SAT",28914
"ORD","ORF",28912
"RDU","BWI",28911
"CLT","MSP",28882
"IAH","BNA",28871
"GEG","PDX",28853
"STL","MKE",28769
"DLH","MSP",28767
"PHL","ALB",28753
"MCO","CLE",28746
"MSP","BIS",28742
"STL","SEA",28739
"BWI","RDU",28737
"PHL","ORF",28711
"BDL","DCA",28687
"ROC","ATL",28662
"BHM","DFW",28654
"DTW","SFO",28638
"RNO","DEN",28637
"CLE","MCO",28636
"PIT","BDL",28632
"LAS","PHL",28612
"PHL","CMH",28611
"PHL","LAS",28608
"TUL","ATL",28607
"BIS","MSP",28600
"SLC","ONT",28590
"DCA","BDL",28570
"ORF","PHL",28557
"DEN","RNO",28554
"MKE","STL",28530
"CMH","DCA",28489
"SEA","STL",28477
"MSP","PDX",28459
"MCI","TUL",28446
"CLT","GSP",28441
"TPA","CVG",28432
"STL","DSM",28403
"BUF","PHL",28379
"ATL","TUL",28370
"ORF","ORD",28351
"MSP","CLT",28335
"PDX","MSP",28325
"DFW","OMA",28282
"IAH","ELP",28271
"GSP","CLT",28264
"STL","BNA",28236
"MEM","CLT",28230
"MIA","STL",28212
"DTW","SEA",28210
"BNA","STL",28182
"DSM","STL",28171
"ELP","IAH",28153
"BDL","PIT",28099
"DTW","PVD",28090
"SFO","MRY",28048
"SJU","ORD",28047
"MRY","SFO",28034
"ONT","SLC",28023
"CLT","MEM",28019
"STL","MIA",27936
"GRB","DTW",27915
"BWI","BUF",27899
"LAX","CVG",27895
"CVG","RDU",27888
"PIT","MDT",27822
"PVD","DTW",27809
"SAT","DEN",27797
"SAN","ATL",27784
"CVG","LAX",27783
"ATL","ROC",27751
"SEA","ATL",27716
"CLT","FAY",27596
"DTW","SYR",27591
"IND","EWR",27583
"MDT","PIT",27554
"IDA","SLC",27535
"DTW","ALB",27531
"BWI","ALB",27484
"PIT","IND",27466
"EWR","IND",27449
"IND","PIT",27410
"ALB","BWI",27389
"DCA","PVD",27370
"STL","CID",27318
"PVD","DCA",27315
"ALB","DTW",27309
"HOU","OKC",27295
"CMH","PHL",27223
"XNA","DFW",27096
"SNA","IAH",27085
"STL","ICT",27084
"BUF","BWI",27080
"LAS","TUS",27062
"IND","MCO",27052
"MCO","IND",27048
"DFW","DSM",27043
"EWR","JAX",27040
"CLT","BDL",27028
"SFO","PIT",26984
"MSP","SAN",26979
"DFW","XNA",26947
"JFK","DTW",26920
"JAX","EWR",26898
"ICT","STL",26894
"IND","MDW",26881
"PVD","ATL",26877
"TUS","LAS",26844
"ATL","PVD",26827
"SAN","MSP",26827
"MDW","IND",26823
"IAH","SNA",26794
"OKC","HOU",26790
"TYS","ORD",26789
"ORD","TYS",26761
"CVG","LEX",26759
"PIT","LAX",26757
"PIT","RDU",26687
"DTW","JFK",26667
"FAY","CLT",26629
"DTW","ROC",26620
"RST","MSP",26611
"CVG","BWI",26595
"BWI","ORF",26585
"ORF","BWI",26525
"SEA","KTN",26518
"RDU","PIT",26495
"LAX","CLT",26489
"RDU","JFK",26466
"GNV","ATL",26457
"STL","MSY",26444
"PHL","ROC",26438
"DTW","ORF",26422
"GRB","MSP",26415
"CMH","PIT",26376
"RNO","PDX",26370
"KTN","SEA",26358
"CLT","CMH",26357
"CMH","CLT",26352
"MCI","LAX",26350
"JFK","RDU",26350
"MSY","STL",26337
"BDL","CVG",26261
"LAX","MCI",26259
"ROC","PHL",26256
"CLT","LAX",26235
"PDX","RNO",26191
"CLT","BHM",26166
"DEN","GEG",26159
"CLT","AVL",26152
"ATL","GNV",26123
"CVG","MCI",26111
"MCI","CVG",26095
"DCA","TPA",26087
"MSY","MIA",26078
"CVG","BDL",26076
"BHM","CLT",26046
"SBP","LAX",26000
"BDL","CLT",25999
"TPA","DCA",25997
"ORF","DTW",25978
"AVL","CLT",25937
"LAX","SBP",25914
"RSW","EWR",25840
"STL","SAT",25835
"ORD","OAK",25833
"CID","STL",25833
"ORD","MHT",25825
"LGB","PHX",25812
"MIA","MSY",25797
"MSO","SLC",25792
"ONT","ORD",25787
"EWR","RSW",25767
"IAD","TPA",25763
"GEG","DEN",25733
"DSM","DEN",25723
"MEM","MSY",25720
"PHX","LGB",25691
"BNA","TPA",25671
"ORD","ONT",25634
"MSY","MEM",25626
"PHL","RIC",25599
"IAH","MEM",25580
"IAD","BDL",25571
"MEM","IAH",25564
"JAC","SLC",25550
"TPA","BNA",25522
"AUS","DEN",25480
"PIT","PHX",25475
"SEA","ONT",25452
"PHX","PIT",25451
"ORD","MBS",25422
"IND","IAH",25380
"DTW","FLL",25360
"DEN","AUS",25345
"GSO","LGA",25318
"FLL","DTW",25312
"RIC","PHL",25308
"MBS","ORD",25295
"ORD","TUS",25282
"IND","PHL",25277
"ONT","SEA",25261
"DEN","BIL",25254
"MSP","GRB",25249
"DSM","DFW",25215
"MEM","MCO",25203
"DEN","PIT",25137
"TPA","IAD",25134
"OAK","ORD",25093
"BIL","DEN",25059
"ROC","EWR",25025
"PHX","OKC",25022
"EWR","ROC",25004
"ROA","CLT",24988
"ELP","HOU",24918
"PIT","DEN",24900
"STL","DAY",24888
"MCI","CLT",24881
"SAT","STL",24859
"JNU","SEA",24826
"MSP","RST",24823
"IAH","IND",24820
"DFW","BDL",24819
"MCO","MEM",24815
"SYR","PHL",24801
"DEN","MSY",24783
"GSO","ORD",24758
"DAY","STL",24755
"CLT","ROA",24735
"MEM","DCA",24728
"BNA","LGA",24682
"DFW","MAF",24669
"MSY","DEN",24653
"BDL","IAD",24653
"ATL","OKC",24650
"SLC","MSO",24601
"CLT","MCI",24601
"EWR","RIC",24593
"PHL","SYR",24591
"LGA","BNA",24587
"OKC","PHX",24571
"MDW","MCO",24549
"JFK","ORD",24541
"PHX","CMH",24511
"MCO","MDW",24506
"ORD","GSO",24491
"ORD","JFK",24485
"PIT","PVD",24436
"PSC","SLC",24424
"RIC","EWR",24395
"PIT","IAD",24381
"PIT","ALB",24381
"MIA","IAD",24377
"MSP","CMH",24369
"IAD","PIT",24341
"ALB","PIT",24322
"CVG","MSY",24316
"CVG","DEN",24316
"BWI","LAX",24300
"DEN","CVG",24298
"BNA","LAX",24285
"MAF","DFW",24273
"ALB","ATL",24239
"MEM","LGA",24232
"LAX","BNA",24222
"BDL","DFW",24177
"IAD","MIA",24142
"CLT","DEN",24137
"MIA","BWI",24136
"RDU","CVG",24133
"DEN","CLT",24106
"BWI","MIA",24099
"PIT","BUF",24089
"CLE","PIT",24083
"MSP","BWI",24078
"ATL","ALB",24069
"BWI","CVG",24039
"SDF","BWI",24025
"LGA","GSO",24008
"EWR","MSY",24001
"BWI","MSP",23996
"BWI","SDF",23994
"BUF","PIT",23978
"CMH","PHX",23974
"PIT","CMH",23969
"PHL","IND",23967
"PIT","SFO",23961
"MSY","EWR",23959
"TUS","ORD",23843
"PIT","SYR",23832
"MEM","EWR",23828
"BUR","DEN",23822
"MKE","MEM",23818
"LAX","MEM",23818
"LGA","MEM",23810
"MCI","EWR",23775
"PVD","PIT",23750
"CLT","SFO",23738
"LFT","IAH",23730
"EWR","MEM",23677
"PIT","CLE",23647
"SAN","STL",23638
"DFW","LGB",23636
"BNA","RDU",23595
"RDU","MCO",23588
"EWR","MCI",23588
"MLI","STL",23580
"ORD","ABE",23575
"BNA","EWR",23563
"EWR","BNA",23561
"MEM","VPS",23556
"MSP","GFK",23552
"IAH","LFT",23517
"MEM","STL",23512
"SYR","PIT",23487
"SHV","ATL",23476
"GFK","MSP",23460
"JAX","BWI",23458
"SGF","DFW",23425
"VPS","MEM",23415
"MCO","PVD",23394
"CLE","LAX",23381
"CLE","IND",23373
"DCA","MEM",23343
"LAX","CLE",23343
"MCO","RDU",23311
"DFW","SGF",23301
"MEM","MKE",23299
"ROC","DTW",23292
"MEM","MCI",23239
"DEN","MDW",23239
"MDW","DEN",23234
"PVD","MCO",23222
"LGB","DFW",23177
"MSY","CVG",23117
"RDU","BNA",23107
"SFO","CLT",23093
"BWI","EWR",23050
"ROC","PIT",23047
"MCI","MEM",22980
"BWI","JAX",22976
"SJU","BOS",22935
"IAH","JAX",22928
"BOS","SJU",22914
"MHT","ORD",22897
"STL","MEM",22881
"RIC","CVG",22861
"JAX","IAH",22856
"EWR","BWI",22829
"SEA","JFK",22815
"JFK","SEA",22804
"PBI","JFK",22793
"SDF","DTW",22765
"JFK","PBI",22764
"CVG","IND",22755
"PIT","ROC",22741
"SEA","JNU",22716
"STL","MLI",22697
"MIA","SFO",22673
"DTW","SDF",22662
"SFO","MIA",22614
"LGA","RIC",22572
"SLC","PSC",22566
"IND","CVG",22544
"IND","CLE",22517
"DEN","BUR",22510
"PHX","TUL",22483
"GRR","CVG",22442
"SFO","CVG",22403
"CVG","GRR",22401
"CVG","SFO",22367
"STL","SAN",22355
"CAK","ATL",22338
"LGA","ROC",22325
"SYR","EWR",22325
"BNA","PHL",22284
"PHL","JAX",22259
"RIC","LGA",22217
"ATL","CAK",22216
"BNA","MCI",22196
"TUL","PHX",22191
"DTW","RSW",22178
"MEM","LAX",22155
"PBI","BOS",22113
"MSP","BIL",22106
"PHL","BNA",22102
"CLE","LAS",22092
"JAX","PHL",22078
"MEM","IND",22070
"SNA","MSP",22069
"OKC","ATL",22035
"OMA","ATL",22022
"MCI","BNA",21998
"BOS","PBI",21997
"COS","SLC",21991
"ORD","FWA",21987
"SLC","COS",21980
"ABE","ORD",21976
"IND","MEM",21964
"JNU","ANC",21964
"ROC","LGA",21958
"DFW","MFE",21940
"EWR","PVD",21898
"JFK","PIT",21893
"MKE","CVG",21873
"CLT","TRI",21858
"CVG","MKE",21827
"FWA","ORD",21817
"LAS","CLE",21814
"BIL","MSP",21813
"MSP","SNA",21808
"SLC","JAC",21788
"LAX","BWI",21777
"CMH","LAS",21775
"MFE","DFW",21746
"ATL","OMA",21712
"DFW","BUR",21705
"STL","IAD",21690
"RSW","DTW",21679
"PVD","EWR",21674
"PIT","JFK",21642
"PWM","PHL",21632
"RDU","MIA",21630
"STL","JFK",21595
"MSP","MOT",21552
"IAD","STL",21535
"EWR","SYR",21535
"MEM","BHM",21531
"MCI","PIT",21493
"TRI","CLT",21476
"CVG","PHX",21469
"MEM","TPA",21460
"ANC","JNU",21440
"CMH","BOS",21440
"SEA","EWR",21436
"DTW","MDT",21431
"PIT","ERI",21427
"EWR","SEA",21401
"MIA","DEN",21391
"MOT","MSP",21382
"MIA","RDU",21372
"BDL","CLE",21348
"BHM","MEM",21346
"IAH","BTR",21346
"TPA","MEM",21337
"PFN","ATL",21334
"DEN","MIA",21333
"BUR","DFW",21309
"STL","SGF",21273
"PIA","ORD",21260
"PIT","ABE",21259
"ORD","PIA",21248
"PHX","CVG",21247
"BNA","MSP",21246
"GTF","SLC",21222
"STL","RDU",21213
"PBI","MCO",21199
"PHF","ATL",21183
"ATL","PFN",21166
"ERI","PIT",21159
"ATL","PHF",21150
"IAH","PNS",21147
"BOS","CMH",21136
"MDW","DFW",21134
"MKE","PIT",21133
"SGF","STL",21126
"CLE","BDL",21121
"PIT","MKE",21117
"DFW","MDW",21105
"ABE","PIT",21090
"MSP","DSM",21061
"STL","BDL",21050
"ORD","LNK",21045
"JFK","STL",21045
"PNS","IAH",21035
"BNA","PIT",21025
"SLC","GTF",21023
"PIT","SDF",21010
"PIT","BNA",21002
"ORD","SWF",20967
"BTR","IAH",20944
"IAH","IAD",20941
"DSM","MSP",20941
"BUF","JFK",20918
"IAD","IAH",20904
"PIT","MCI",20890
"FCA","SLC",20889
"BDL","STL",20884
"SEA","BOI",20879
"PIT","FLL",20856
"JFK","BUF",20842
"RAP","MSP",20840
"IAD","SEA",20800
"LAS","CMH",20789
"SDF","PIT",20788
"IND","DCA",20751
"COS","PHX",20735
"DAY","PIT",20732
"MSP","RAP",20723
"MSP","BNA",20698
"MSP","TPA",20696
"PVD","CLT",20681
"DCA","IND",20635
"RDU","STL",20632
"CMH","MSP",20624
"PHX","MDW",20622
"SEA","IAD",20615
"SLC","HLN",20612
"MDW","PHX",20609
"BUR","SEA",20609
"PHX","BNA",20607
"TPA","MCO",20601
"TPA","MSP",20590
"CLT","PVD",20582
"PIT","ORF",20528
"MSP","IAD",20526
"SWF","ORD",20501
"PHX","IND",20470
"IND","PHX",20470
"SAN","PDX",20446
"PDX","SAN",20445
"IAD","MSP",20441
"IAH","TUS",20401
"CLT","PNS",20396
"PHX","COS",20388
"BNA","PHX",20367
"OAK","LGB",20346
"DFW","ORF",20334
"BTV","ORD",20333
"TUS","IAH",20316
"MIA","CVG",20313
"DFW","DAY",20302
"RSW","PHL",20293
"PHL","RSW",20288
"PNS","CLT",20273
"MEM","SAT",20243
"CLE","PHX",20218
"DAY","DFW",20217
"ORF","PIT",20217
"SAT","MEM",20207
"ELP","LAS",20198
"MCO","CMH",20160
"MCO","TPA",20159
"ROC","SYR",20157
"FLL","PIT",20154
"SEA","BUR",20138
"ATL","SYR",20137
"JFK","IAD",20131
"PHL","GSO",20098
"CVG","MEM",20063
"MSY","BNA",20043
"PSP","SFO",20034
"SFO","PSP",20020
"DFW","HNL",19992
"PHX","CLE",19975
"IAD","JFK",19958
"SDF","CLT",19944
"BNA","MSY",19940
"DFW","SJU",19935
"SLC","JFK",19924
"SFO","SMF",19910
"GSO","DFW",19885
"JFK","SLC",19880
"LGB","OAK",19879
"CVG","FLL",19873
"CLT","SDF",19861
"PIT","AVP",19854
"HNL","DFW",19832
"JFK","DFW",19820
"PIT","RIC",19808
"SJU","DFW",19806
"BWI","LAS",19783
"MSP","BDL",19780
"LAS","BWI",19771
"GSO","PHL",19748
"MEM","CVG",19743
"SMF","SFO",19743
"PIT","DAY",19730
"BNA","CVG",19716
"BOI","SEA",19714
"LNK","ORD",19711
"AVP","PIT",19710
"BDL","MSP",19696
"BTV","PHL",19676
"ABI","DFW",19662
"ATL","PDX",19659
"SYR","ATL",19658
"RIC","PIT",19612
"ABE","DTW",19610
"DFW","ABI",19599
"DFW","JFK",19533
"CMH","MCO",19522
"DTW","AZO",19481
"CVG","BNA",19409
"CRW","PIT",19398
"LAS","OMA",19364
"SEA","CVG",19328
"OKC","MEM",19327
"OMA","LAS",19310
"PHL","PWM",19276
"AZO","DTW",19233
"MCO","PBI",19230
"MEM","OKC",19220
"GRB","ORD",19198
"ORD","COS",19178
"ORD","PWM",19177
"FLL","DCA",19134
"RSW","MCO",19130
"ABQ","SAN",19119
"IAD","CLE",19117
"ORD","GRB",19111
"MCO","RSW",19097
"CLE","IAD",19095
"ABQ","LBB",19095
"ORD","BTV",19069
"CVG","MIA",19068
"SAN","ABQ",19021
"BET","ANC",18988
"ATL","SHV",18963
"MSP","LSE",18945
"DCA","FLL",18929
"BUF","CLT",18921
"DFW","GSO",18907
"ORD","ABQ",18894
"LGA","ORF",18892
"LAS","ELP",18879
"PHL","MEM",18858
"MSP","GEG",18847
"EWR","PWM",18837
"LGA","BWI",18812
"MEM","PHL",18793
"CLT","BUF",18786
"CVG","ORF",18733
"ABQ","ORD",18729
"DTW","HPN",18705
"PWM","EWR",18696
"VPS","ATL",18694
"GEG","MSP",18666
"MEM","DEN",18649
"ATL","VPS",18641
"ORF","DFW",18625
"PIT","CRW",18624
"DEN","MEM",18590
"BWI","LGA",18587
"ORF","LGA",18585
"MDT","DTW",18560
"BHM","IAH",18548
"IAH","BHM",18545
"HPN","DTW",18534
"LGA","IND",18521
"RIC","DFW",18515
"DCA","SYR",18508
"MSY","LAX",18450
"IND","LGA",18439
"ANC","BET",18420
"LAX","MSY",18379
"SYR","DCA",18345
"ACT","DFW",18336
"CMH","BWI",18335
"BWI","CMH",18288
"PIT","MDW",18280
"DFW","ACT",18272
"MDW","PIT",18247
"BWI","PBI",18232
"DCA","BNA",18204
"DEN","FSD",18200
"PBI","BWI",18180
"CVG","GSO",18167
"MEM","AUS",18141
"SLC","FCA",18128
"TPA","CLE",18118
"ATL","CSG",18110
"MSP","MIA",18097
"TYR","DFW",18093
"CLE","TPA",18083
"BNA","DCA",18080
"COS","ORD",18079
"DTW","SBN",18076
"CSG","ATL",18074
"DFW","TYR",18053
"AUS","MEM",18045
"DAY","CLT",18035
"SYR","ROC",18019
"JFK","SAN",18015
"MIA","MSP",17990
"SAN","JFK",17923
"GPT","ATL",17921
"TPA","JAX",17919
"ICT","ATL",17914
"JFK","CVG",17912
"SBN","DTW",17836
"DTW","PBI",17823
"GSO","CVG",17766
"FLL","STL",17758
"AVL","ATL",17720
"DEN","GJT",17713
"PWM","ORD",17704
"PBI","DTW",17696
"STL","FLL",17686
"ATL","ICT",17686
"LNK","DEN",17683
"ATL","GPT",17667
"FSD","DEN",17637
"CVG","LAS",17637
"PIT","MIA",17631
"GJT","DEN",17630
"TPA","PBI",17621
"CVG","RIC",17615
"IAH","CMH",17583
"SUN","SLC",17574
"ATL","AVL",17541
"CMH","IAH",17537
"CVG","CLT",17523
"SLC","OKC",17520
"DEN","TPA",17516
"MIA","PIT",17509
"SFO","OGG",17507
"OKC","SLC",17489
"BUF","DCA",17484
"JAX","TPA",17484
"SEA","PIT",17464
"OGG","SFO",17450
"PHL","BTV",17445
"ORD","HNL",17431
"SLC","SUN",17426
"PIT","SAN",17422
"CLT","DAY",17416
"CLE","MKE",17407
"MDW","LAX",17403
"PIT","SEA",17397
"MCO","ISP",17390
"MKE","CLE",17375
"ISP","MCO",17372
"GSO","PIT",17370
"LAX","MDW",17366
"CLT","CVG",17342
"MAF","ELP",17330
"SNA","PDX",17321
"SAN","PIT",17303
"MEM","BTR",17294
"PIT","LAS",17291
"LAS","PIT",17268
"HNL","SEA",17253
"FLL","CVG",17236
"MIA","MEM",17207
"BTR","MEM",17174
"DCA","PBI",17174
"SEA","HNL",17174
"DTW","ABE",17154
"TPA","DEN",17151
"JAX","CVG",17147
"EWR","MDW",17137
"MDW","EWR",17135
"BOS","PWM",17117
"DEN","LNK",17116
"RIC","DTW",17089
"DFW","RIC",17080
"GEG","SFO",17070
"CVG","JAX",17063
"PBI","TPA",17048
"SAT","SLC",17036
"PIT","GSO",17028
"IAH","RDU",17024
"MSP","SMF",17003
"LAW","DFW",16999
"FSM","DFW",16992
"ANC","SLC",16981
"PBI","DCA",16978
"SPS","DFW",16966
"DFW","LAW",16964
"OMA","IAH",16945
"DFW","FSM",16942
"PWM","BOS",16935
"DFW","SPS",16934
"CLT","TYS",16923
"DCA","BUF",16910
"SMF","MSP",16895
"PHL","MCI",16855
"MEM","MIA",16849
"TYS","CLT",16819
"DTW","RIC",16806
"CLT","PHX",16801
"XNA","ORD",16799
"SAN","ELP",16798
"PHX","CLT",16767
"TYS","DFW",16744
"PIT","GRR",16739
"LAS","BOS",16737
"DTW","TVC",16727
"IAH","OMA",16723
"BOS","LAS",16718
"ORD","XNA",16702
"SLC","BOS",16686
"MCO","MCI",16672
"TVC","DTW",16670
"GRR","PIT",16669
"MCI","MCO",16668
"DFW","TYS",16662
"BOS","SLC",16658
"JNU","SIT",16650
"HLN","SLC",16649
"RDU","IAH",16620
"SFO","GEG",16618
"IAH","HRL",16584
"CMI","ORD",16530
"COS","IAH",16486
"ORD","CMI",16481
"IAH","MAF",16481
"SLC","ANC",16452
"IAH","COS",16444
"SAN","CVG",16440
"HRL","IAH",16433
"PDX","SNA",16424
"MAF","IAH",16399
"IAD","RDU",16396
"CMH","TPA",16384
"SYR","LGA",16327
"AUS","SAT",16320
"ORF","CVG",16307
"LSE","MSP",16297
"ORD","ELP",16272
"PDX","CVG",16253
"DTW","SAN",16253
"CVG","PDX",16236
"CVG","JFK",16211
"CVG","SEA",16207
"JFK","CLE",16197
"JAX","BNA",16187
"BNA","JAX",16161
"CLT","SRQ",16134
"ATL","ABE",16133
"RDU","TPA",16126
"TRI","ATL",16117
"RDU","IAD",16108
"MDT","ATL",16107
"RDU","BDL",16095
"FSD","ORD",16072
"SRQ","CLT",16066
"ELP","ORD",16065
"BDL","RDU",16058
"ATL","TRI",16045
"LGA","SYR",16039
"MDW","PHL",16034
"HOU","LAS",16022
"FNT","ATL",16007
"DTW","MSY",16004
"LAS","HOU",16003
"ORD","FSD",16003
"PBI","ORD",15992
"PHL","MDW",15970
"TPA","RDU",15965
"ATL","MDT",15956
"ORD","PBI",15951
"MSY","DTW",15949
"ORD","JAX",15945
"DTW","GSP",15922
"SFO","FAT",15915
"SAN","DTW",15913
"GSP","DTW",15906
"JAX","ORD",15870
"FAT","SFO",15834
"RSW","BOS",15831
"MSP","SJC",15821
"MSY","PHL",15812
"ATL","FNT",15811
"PIT","TOL",15810
"CLE","JFK",15802
"PIT","LEX",15800
"BOS","RSW",15794
"PHL","MSY",15754
"AZO","ORD",15750
"MCI","PHL",15749
"MYR","ATL",15746
"SFO","ACV",15734
"ATL","MYR",15732
"LEX","PIT",15728
"BUF","BOS",15726
"SJC","MSP",15713
"PBI","IAH",15710
"DCA","ALB",15710
"ORD","AZO",15707
"SRQ","RSW",15688
"TOL","PIT",15669
"ACV","SFO",15641
"IAD","SAN",15639
"HOU","JAN",15629
"JAN","HOU",15625
"DTW","FWA",15620
"MDT","CLT",15609
"TPA","CMH",15603
"SAN","IAD",15595
"CLT","MDT",15584
"BOS","BUF",15582
"FLL","IAD",15565
"IAD","FLL",15551
"SLC","TUS",15544
"BDL","TPA",15535
"IAH","PBI",15528
"DTW","FNT",15519
"MEM","TYS",15505
"BOI","GEG",15504
"IAH","CVG",15496
"FNT","DTW",15492
"TPA","BDL",15487
"DFW","PSP",15485
"ABE","ATL",15480
"TUS","SLC",15478
"PIT","BGM",15478
"HNL","ORD",15465
"SBN","CVG",15464
"CVG","SBN",15460
"CVG","IAH",15444
"BGM","PIT",15401
"STX","STT",15396
"ALB","DCA",15385
"PSP","DFW",15380
"ROC","JFK",15369
"LAX","SAT",15349
"JFK","ROC",15347
"BNA","DEN",15344
"DEN","BNA",15342
"SAT","LAX",15337
"TPA","MDW",15333
"FWA","DTW",15332
"IND","LAS",15324
"LAS","IND",15295
"MDW","TPA",15275
"BWI","BHM",15274
"PDX","BUR",15272
"CVG","TYS",15270
"BHM","BWI",15268
"CVG","ALB",15261
"AMA","ABQ",15227
"ALB","CVG",15224
"SIT","JNU",15211
"SAT","HRL",15186
"AUS","LAX",15171
"RSW","CVG",15168
"FAT","SLC",15165
"LAX","AUS",15164
"PBI","CVG",15163
"IND","BWI",15161
"CVG","PBI",15148
"BWI","IND",15142
"CVG","RSW",15108
"SNA","STL",15081
"MDW","LGA",15076
"ABQ","AMA",15073
"CVG","BHM",15066
"MCI","BWI",15062
"BWI","MCI",15053
"IAD","PHL",15020
"LGA","MDW",15017
"SLC","IAD",15015
"RSW","DFW",14999
"LBB","AUS",14973
"PHL","IAD",14972
"ORF","STL",14951
"IAD","SLC",14933
"CLE","MIA",14931
"TPA","LAX",14930
"BOS","ROC",14902
"PIT","MHT",14898
"EWR","DAY",14887
"BHM","CVG",14882
"DFW","RSW",14881
"LAX","TPA",14881
"GRK","DFW",14877
"TYS","MEM",14874
"MIA","CLE",14869
"MCI","CLE",14856
"DFW","GRK",14847
"CLE","MCI",14841
"SNA","ATL",14802
"HRL","SAT",14800
"STL","ORF",14769
"EWR","BDL",14763
"MCI","ABQ",14760
"IAH","ONT",14755
"CVG","SAN",14751
"ROC","BOS",14733
"BUF","CLE",14728
"TPA","IND",14718
"SGU","SLC",14716
"MCI","DCA",14706
"BDL","EWR",14706
"STL","SNA",14704
"PDX","ATL",14701
"ELP","LBB",14695
"IND","TPA",14681
"ONT","IAH",14680
"CLE","BUF",14678
"DAY","EWR",14673
"SAN","TUS",14667
"SLC","SGU",14664
"TUS","SAN",14656
"IAD","ROC",14655
"BOI","PDX",14646
"FLG","PHX",14643
"CLT","CHA",14637
"PHX","FLG",14635
"LGB","JFK",14615
"CLL","DFW",14603
"ORD","RSW",14595
"JFK","LGB",14576
"BNA","MIA",14570
"RSW","ORD",14566
"CHA","CLT",14559
"DFW","CLL",14548
"PDX","BOI",14541
"RNO","BOI",14527
"IAH","BRO",14517
"DCA","ROC",14516
"BRO","IAH",14510
"GEG","BOI",14505
"SJT","DFW",14491
"SLC","MCO",14480
"LGA","JAX",14479
"BOI","RNO",14476
"AUS","LBB",14472
"MIA","BNA",14470
"STL","RSW",14464
"BWI","ROC",14461
"DCA","MCI",14460
"MCO","SLC",14459
"DFW","SJT",14454
"JAX","LGA",14408
